TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
e-erytrosyyttienkeskitilavuus	fl	7550	3787	0	[ 65.5, 84.5, 86.4, 87.8, 88.8, 89.9, 91, 92.1, 93.4, 95.3, 118.5,  ]	[  0][  0,  7,  0,  0, 93,  0,  0]
-sienvi	NA	8710	5716	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 83][  0,  1,  0,  0, 16,  0,  0]
-strvi	NA	1016	645	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 88][  0, 12,  0,  0,  0,  0,  0]
p-aminoh	NA	470	182	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-reumafa	NA	199	172	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-erytp	e12/l	7424	4620	0	[ 1.64, 4.06, 4.3, 4.4, 4.5, 4.67, 4.8, 4.9, 5, 5.29, 6.7,  ]	[ 76][  0,  0,  0,  8, 13,  3,  0]
b-hbp	g/l	6677	4247	0	[ 54, 122.6, 129, 133, 136, 140, 143, 147, 151, 158, 211,  ]	[ 72][  0,  0,  0, 10, 14,  4,  0]
s-w-o6.7	NA	982	925	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 79][  0,  0,  0,  0, 20,  1,  0]
s-w-h:d	NA	939	896	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0,  1,  0,  0, 21,  1,  0]
s-frtuabg	NA	194	167	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-kemseul,u-suhti	NA	1652	458	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-solut,leuk	NA	36	31	NA	NA	NA
u-solut,välim.epit	NA	21	17	NA	NA	NA
pika-tnt	NA	188	128	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
vainaja	NA	144	143	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-eosabs	e9/l	1670	403	0	[ 0, 0, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 27,  ]	NA
s-ucrp	mg/l	3244	1937	0	[ 0.2, 0.4, 0.6, 1, 1.4, 1.9, 2.8, 4.2, 6.4, 10.07, 250,  ]	[ 60][  0, 40,  0,  0,  0,  0,  0]
p-troponiinit	NA	359	307	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-parathormoni	ng/l	654	447	0	[ 5, 34, 44, 55, 63, 73, 87, 103.1, 133, 237.2, 1348,  ]	NA
b-ldlre-d	NA	1012	980	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 84][  0,  2,  0,  0, 14,  0,  0]
s-c-pep-a	nmol/l	2482	2002	0	[ 0, 0.3, 0.5, 0.7, 0.89, 1.1, 1.3, 1.6, 2, 2.6, 7.6,  ]	[ 32][  0, 16,  0, 21,  9, 22,  0]
b-dpyd-d	NA	2983	2906	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 73][  0,  0,  0,  0, 27,  0,  0]
-nocavi	NA	2019	1316	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 92][  0,  0,  0,  0,  7,  0,  0]
-pncanho	NA	4695	2754	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 81][  0,  5,  0,  0, 13,  0,  0]
-aspeag	NA	2114	1267	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 81][  0,  1,  0,  0, 18,  0,  0]
s-ssa-52	NA	3565	2976	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 95][  0,  5,  0,  0,  0,  0,  0]
u-partikk	NA	5489	2210	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
u-sg	NA	3776	2101	33	[ 0.005, 1.005, 1.01, 1.01, 1.01, 1.015, 1.015, 1.02, 1.02, 1.025, 1015,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
u-nitur	NA	3790	2085	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
hemoglobiini,kapillaariverestäotettu	NA	53	42	NA	NA	NA
huumeseula(ds5)+bupre-0	NA	22	22	NA	NA	NA
s-p�lyer	u/ml	4813	4570	0	[ 0, 0.03, 0.05, 0.1, 0.21, 0.48, 1.29, 3.254, 7.14, 17.8, 98.6,  ]	[ 22][  0,  6,  0,  0, 32, 40,  0]
-liik.np	%	3768	1199	0	[ 0, 1, 2, 4, 5, 6, 8, 9, 12, 15, 90,  ]	[ 45][  0,  0,  0,  0, 55,  0,  0]
-tilav.	ml	1491	1109	0	[ 0, 1, 1.5, 2, 2.5, 2.5, 3, 3.5, 4, 5, 9.5,  ]	[ 43][  0,  7,  0,  7, 43,  0,  0]
-viskos.	NA	1465	1097	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 49][  0,  0,  0,  0, 51,  0,  0]
-ph	NA	2476	1822	31	[ 2, 7.33, 7.36, 7.38, 7.4, 7.42, 7.45, 7.5, 7.5, 7.7, 8,  ]	[ 70][  0,  1,  0,  0, 29,  0,  0]
-agglut	NA	1290	980	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 49][  0,  0,  0,  0, 51,  0,  0]
vp-glukoosi,0-näyte	mmol/l	63	60	0	[ 4.7, 5.4, 5.6, 5.86, 5.9, 6.2, 6.4, 6.54, 6.7, 7.08, 10.6,  ]	NA
s-hbsab	NA	11143	9078	100	[ 18, 93.2, 168.4, 232.4, 285.2, 338, 354.8, 371.6, 423, 509, 595,  ]	[ 52][  0,  4,  0,  0, 45,  0,  0]
e-erytrosyytiit,kokojakaumaprosentti	%	1585	1061	0	[ 11, 12, 12.3, 12.9, 13, 13, 13, 13.5, 14, 14.1, 24,  ]	[  0][  0,  8,  0,  0, 92,  0,  0]
b-ghb-a1c,tk	NA	5108	2204	0	[ 0, 5.4, 5.7, 6.1, 6.56000000000001, 7, 7.4, 7.9, 8.4, 9.3, 88,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
b-auria10	NA	1812	1779	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
fp-pth	pmol/l	23879	7368	0	[ 0, 3.7, 5.1, 6.5, 8.2, 10.55, 13.7, 18.8, 27.5, 43.6, 566,  ]	[ 31][  0, 55,  0,  0,  2, 12,  0]
b-cd16/56	NA	96	86	95	[ 0.17, 0.206, 0.242, 0.262, 0.266, 0.27, 0.274, 0.278, 0.322, 0.406, 0.49,  ]	NA
s-kol-hdl	mmol/l	5411	2832	0	[ 0.26, 1, 1.14, 1.27, 1.38, 1.5, 1.65, 1.83, 2.11, 2.8, 7.9,  ]	[ 36][  0,  0,  0, 12, 43,  8,  0]
-sytol	NA	72	67	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
reuma	NA	265	256	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fb-b6-vit	nmol/l	792	609	0	[ 14, 66, 79, 89.3, 100, 110.5, 124, 142, 168, 232.9, 1628,  ]	[ 58][  0, 32,  0,  1,  1,  9,  0]
s-tyglab	NA	5394	2429	100	[ 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18,  ]	[ 85][  0,  1,  0,  0, 13,  1,  0]
s-alfgale	u/ml	460	445	13	[ 0, 0, 0, 0, 0, 0, 0, 0.01, 0.01, 0.0530000000000001, 24.1,  ]	NA
s-kaseiie	u/ml	254	201	1	[ 0, 0.01, 0.01, 0.02, 0.05, 0.13, 0.472, 1.167, 3.576, 21.37, 526,  ]	NA
li-neu	NA	216	206	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-hsv1abg	NA	514	483	100	[ 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30,  ]	NA
glutamyylitransferaasi-desialotransf.indeksi	NA	44	32	NA	NA	NA
kalsium,albumiinikorjattu	mmol/l	837	661	0	[ 2.08, 2.34, 2.38, 2.42, 2.44, 2.46, 2.49, 2.51, 2.56, 2.62, 3.53,  ]	[ 22][  0, 30,  0,  0, 48,  0,  0]
leukosyytit	NA	460	333	82	[ 1, 1, 1, 2, 3, 4, 4.6, 5.4, 6.1, 6.78, 9.7,  ]	NA
trombosyytit	NA	49	36	NA	NA	NA
glomerulussuodosnopeus,estimoitu	NA	39	34	NA	NA	NA
li-perust	NA	2390	1712	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
s-infliks	mg/l	932	350	0	[ 0.04, 1.8, 3, 4.5, 5.52, 6.65, 8.1, 10, 13.752, 19, 110,  ]	NA
p-ck-mb	NA	124	110	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
albumiini,osoitus,virtsa	NA	728	500	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-sydänuä	NA	2995	2479	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
s-talt.kn	NA	1752	1040	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
ln-pad	NA	3345	2633	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 70][ 16,  2,  0,  0, 12,  0,  0]
u-hyalie	e6/l	15278	4896	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30,  ]	[ 85][  0,  9,  0,  0,  5,  0,  0]
troponiinit,plasma	ng/l	3185	1328	0	[ 4, 7, 10, 13, 16, 21, 28, 41, 62, 121, 17835,  ]	[ 38][  0,  5,  0,  0,  0, 58,  0]
pt-dcosb-x	NA	2189	1603	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
b-crcmut	NA	123	122	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fs-rf	NA	3837	3341	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  2,  0,  0,  0,  0,  0]
ts.pad-ih	NA	222	195	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
bm-blamark	NA	996	784	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
adennho	NA	757	631	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
l-lymf	NA	15390	8465	72	[ 0.3, 2.647, 12.7, 18, 22.2, 26, 29.5, 33, 37.6, 45, 98,  ]	[ 24][  0, 31,  0,  9, 34,  1,  0]
p-ebvnh	u/ml	738	265	9	[ 31, 50, 50, 100, 200, 300, 600, 1580, 5220, 34446.0000000002, 6400000,  ]	NA
fs-kol-hdl	NA	2071	1750	59	[ 0.68, 1, 1.12, 1.2, 1.3, 1.4, 1.5, 1.6, 1.71, 1.94, 142,  ]	[ 36][  0,  1,  0, 14, 45,  4,  0]
fs-kol-ldl	NA	2209	1864	54	[ 0.7, 2.1, 2.5, 2.7, 2.92, 3.2, 3.4, 3.7, 4, 4.5, 7.2,  ]	[ 46][  0,  7,  0,  0, 22, 25,  0]
puheaudio	NA	156	154	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-borreliaigm,vasta-aineet	NA	76	60	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-proteiini(s-prot-frvaletietue)	g/l	82	60	0	[ 44, 58, 60.2, 63, 65.4, 67.5, 69, 70, 72, 74.9, 84,  ]	NA
fs-ca-iona	NA	162	149	85	[ 1.14, 1.15, 1.16, 1.178, 1.182, 1.2, 1.208, 1.21, 1.254, 1.28, 1.32,  ]	NA
s-etoh	promille	1132	885	0	[ 0, 0, 0, 0.476, 1.3, 1.7, 2.1, 2.5, 2.9, 3.6, 6.9,  ]	[ 95][  0,  0,  0,  0,  5,  0,  0]
projekti1	NA	160	30	NA	NA	NA
u-alb/krea	NA	812	522	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
li-hinfnho	NA	651	555	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
li-lmonnho	NA	651	555	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
li-hhv6nho	NA	903	791	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
li-l/liusk	%	141	89	0	[ 0, 1, 6, 18, 34, 49, 57, 70, 76, 88, 98,  ]	NA
hb-pika	g/l	1748	1093	0	[ 8, 99, 110, 116, 123, 128, 132, 138, 144, 153, 218,  ]	[ 79][  0, 21,  0,  0,  0,  0,  0]
b-t-cd3	NA	952	593	100	[ 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47, 1.47,  ]	[ 25][  0,  5,  0,  9, 58,  3,  0]
b-ghba1c	NA	36	33	NA	NA	NA
s-hbs-ag	NA	1216	859	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
b-ghba1cv	NA	424	178	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hcvnho	NA	3948	2688	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 57][  0, 12,  0,  0, 31,  0,  0]
-inbnhoho	NA	409	370	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-nahoi	mmol/l	289	235	0	[ 113, 132, 134, 135, 137, 139, 140, 141, 142, 144, 166,  ]	NA
ab-vekaion	NA	1785	712	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
astmatesti	NA	143	115	95	[ 15, 19.2, 22.2, 22.8, 23, 23, 23.6, 24, 24, 24.4, 25,  ]	NA
s-amokige	u/ml	55	54	0	[ 0, 0.01, 0.018, 0.02, 0.02, 0.03, 0.03, 0.04, 0.07, 0.162, 2.8,  ]	NA
s-prog	nmol/l	3381	2489	0	[ 0.1, 1.2, 4.2, 16.8, 24, 31, 37.3, 44.4, 54, 71.8, 620,  ]	[ 80][  0,  1,  0,  0, 19,  0,  0]
s-homeab	NA	47	45	NA	NA	NA
s-sappih	umol/l	7415	3037	0	[ 1, 2, 3, 3.6, 4.7, 6, 8, 11, 17.6, 35.5, 518.2,  ]	[ 40][  0, 35,  0,  0, 13, 12,  0]
u-ph-huu	NA	11590	4542	51	[ 5, 5, 5.5, 5.5, 6, 6.5, 6.5, 7, 7, 7.5, 8.5,  ]	[ 69][  0,  0,  0,  0, 31,  0,  0]
s-b2glob	g/l	876	410	0	[ 1, 1.9, 2.1, 2.4, 2.7, 2.9, 3.1, 3.5, 4.1, 5.1, 41.9,  ]	NA
solut,nivelneste	e6/l	140	91	0	[ 14, 97.6, 202.8, 544.999999999999, 1358.4, 4564.5, 8476.59999999999, 13384.5, 19448.2, 29360, 315200,  ]	NA
hba1c-vieri	mmol/mol	111	65	0	[ 33, 38, 41, 43, 48, 51, 54, 59, 64, 77, 113,  ]	NA
laktpika	mmol/l	1191	889	0	[ 0.3, 0.6, 0.8, 0.9, 1.1, 1.3, 1.5, 1.8, 2.2, 3, 14.6,  ]	[ 76][  0, 24,  0,  0,  0,  0,  0]
(pikacrp)	NA	873	528	55	[ 5, 13, 17, 22, 26, 31, 38, 47, 64, 87.7000000000001, 246,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
leukosyytit,verestä,pikatesti	e9/l	22	20	NA	NA	NA
b-erytrosyytit,tilavuusosuus,pikatesti	osuus	22	20	NA	NA	NA
p-fxi	NA	770	724	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 69][  0,  0,  0,  0, 31,  0,  0]
u-solu	NA	2077	1199	100	[ 1, 1.7, 2.4, 3.1, 3.8, 4.5, 5.2, 5.9, 6.6, 7.3, 8,  ]	[ 64][  0,  0,  0,  0, 36,  0,  0]
s-talteen	NA	616	570	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
pf-gran	NA	145	123	97	[ 2, 2.6, 3.2, 3.8, 4.2, 4.5, 4.8, 9.29999999999998, 22.2, 35.1, 48,  ]	NA
-tbevi	NA	3756	2775	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
as-diffi	NA	2134	1124	100	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	[ 73][  0,  0,  0,  0, 27,  0,  0]
b-rna.kt	NA	166	137	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-tutk-1,keto	NA	2282	630	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-osmoe	mosm/kgh2o	397	290	0	[ 74, 311.4, 389, 439, 479, 533, 580, 642.6, 737.6, 843.8, 1401,  ]	NA
p-ige	u/ml	4003	3235	1	[ 0.1, 7, 13, 22, 34.78, 53, 84, 139, 258.8, 637, 62728,  ]	[ 61][  0, 26,  0,  0,  3, 10,  0]
pf-neut	%	1181	904	4	[ 0, 2, 3, 5, 7, 10, 16.1999999999999, 26, 46, 72, 100,  ]	[ 97][  0,  3,  0,  0,  0,  0,  0]
s-ada	NA	226	194	89	[ 5, 7, 8, 9, 9.6, 11, 14.4, 17, 19, 20.6, 25,  ]	NA
keliakiaseulonta	NA	142	139	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-aitpara	NA	656	579	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 55][  0,  4,  0,  0, 41,  0,  0]
p-apcres.	NA	3099	2783	26	[ 1.3, 2.6, 2.7, 2.8, 2.9, 2.9, 3, 3, 3.1, 3.2, 4.2,  ]	[ 82][  0,  5,  0,  1, 11,  1,  0]
p-ps-agv	%	4911	4387	0	[ 10, 64, 76, 83, 89, 95, 101, 108, 117, 130, 202,  ]	[ 59][  0,  7,  0,  2, 29,  2,  0]
u-bakteeri,partikkelilask.jatko	NA	1905	997	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 45][  0, 55,  0,  0,  0,  0,  0]
vibriospp.(vulnificus/parahaemolyticus/cholerae)	NA	409	346	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
k2-vitamiini,menakinoni-4(mk4)osatutkimus	ug/l	203	165	0	[ 0.1, 0.14, 0.164, 0.2, 0.23, 0.26, 0.3, 0.34, 0.436, 0.568, 6.18,  ]	NA
b-hb-p	g/l	19	17	NA	NA	NA
b-trom-s	e9/l	461	218	0	[ 1, 24, 51, 66, 81, 96, 121, 158, 207, 257, 789,  ]	NA
eikoseenihappo	%	318	258	0	[ 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.4,  ]	NA
fs-trfesat	%	1877	994	0	[ 2, 7, 11, 14, 17, 20, 23, 27, 32, 39.4000000000001, 95,  ]	[ 96][  0,  0,  0,  3,  0,  1,  0]
ab-k	mmol/l	1072	607	0	[ 1.7, 3.4, 3.6, 3.8, 3.9, 4, 4.1, 4.3, 4.5, 4.8, 7.5,  ]	[ 85][  0, 15,  0,  0,  0,  0,  0]
ab-lämpö	aste	1055	598	0	[ 30, 36.8, 37, 37, 37, 37, 37, 37, 37, 37.7, 41,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
b-hba1cp	mmol/mol	12825	2125	0	[ 3.9, 41, 44, 47, 50, 53, 56, 60, 64, 71, 183,  ]	[ 41][  0, 51,  0,  0,  8,  0,  0]
l-bas	NA	2014	902	6	[ 0, 0.2, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7, 0.8, 1, 7,  ]	[  0][  0,  7,  0,  0, 93,  0,  0]
l-bas	%	7223	2241	0	[ 0, 0.1, 0.2, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7, 0.9, 6.9,  ]	[ 39][  0,  5,  0,  0, 56,  0,  0]
s-alfa-2	NA	2372	1806	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 87][  0, 11,  0,  0,  1,  2,  0]
s-borrabg	responseequivalent/ml	1748	1313	0	[ 9, 10, 11, 12, 14, 16, 20, 27, 34, 41, 63,  ]	[  7][  0, 67,  0,  0,  0, 26,  0]
b-edta-näy	NA	2014	1340	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 87][  0,  0,  0,  0, 13,  0,  0]
s-ld-4	%	180	175	1	[ 1, 5.68, 6.8, 7.44, 8.1, 8.5, 9.26, 10.06, 10.9, 12.2, 20.9,  ]	NA
bordetellapertussis,nukleiinihaponosoit.(kval)	NA	82	74	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-haglund	NA	209	204	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-suhti	g/ml	3072	2225	0	[ 0.01, 1.01, 1.015, 1.015, 1.015, 1.02, 1.02, 1.02, 1.025, 1.025, 1.1,  ]	[ 83][  0,  0,  0, 17,  0,  0,  0]
b-neu	e9/l	3658	1174	0	[ 0.08, 1.97, 2.44, 2.8, 3.17, 3.58, 4.02, 4.61, 5.53, 6.92, 25.71,  ]	[ 85][  0, 15,  0,  0,  0,  0,  0]
l-eos	e9/l	3979	1303	0	[ 0, 0, 0.01, 0.07, 0.11, 0.15, 0.19, 0.23, 0.29, 0.39, 7,  ]	[ 70][  0, 26,  0,  0,  5,  0,  0]
l-baso	e9/l	3852	1282	0	[ 0, 0.01, 0.01, 0.02, 0.02, 0.03, 0.03, 0.04, 0.05, 0.07, 0.38,  ]	[ 93][  0,  3,  0,  0,  4,  0,  0]
vb-ph-vt	NA	850	513	58	[ 7.167, 7.347, 7.3676, 7.379, 7.3902, 7.399, 7.409, 7.42, 7.435, 7.4604, 148,  ]	[ 73][  0, 24,  0,  0,  4,  0,  0]
vb-caionvt	mmol/l	281	205	0	[ 0.99, 1.1, 1.13, 1.15, 1.18, 1.19, 1.21, 1.22, 1.25, 1.27, 1.63,  ]	NA
fs-c-pept	NA	1849	1490	100	[ 0.43, 0.517, 0.604, 0.691, 0.7672, 0.838, 0.9088, 0.9638, 0.9872, 1.0106, 1.034,  ]	[ 26][  0, 34,  0,  5, 33,  2,  0]
vb-hetiogl	NA	1992	1195	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  0,  0,  0,  0,  6,  0,  0]
hoiekg	NA	749	627	100	[ 1097, 1097, 1097, 1097, 1097, 1097, 1097, 1097, 1097, 1097, 1097,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
fp-trfe-sa	%	1262	658	0	[ 2, 11, 14, 17, 20, 22, 25, 28, 32, 38, 112,  ]	[ 69][  0, 31,  0,  0,  0,  0,  0]
cb-o2-sis	ml/l	463	212	0	[ 81, 136, 143, 149.6, 157, 164, 171, 179, 190, 204, 252,  ]	NA
du-urea	mmol	1103	459	0	[ 2, 18.7, 32, 45, 59, 76, 96, 120, 150.6, 202.3, 672,  ]	NA
pd-gluk	NA	44	13	NA	NA	NA
lipidit,paasto	NA	910	700	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
kalsium,ionisoitunutph	ph	2516	1048	0	[ 1.2, 7.33, 7.35, 7.37, 7.38, 7.39, 7.4, 7.41, 7.42, 7.44, 7.64,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
cytomegalovirus,vasta-aineet	NA	13	11	NA	NA	NA
albumiini,osoitus,virtsa	estimate	2239	1433	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
pt-enmg-1	NA	672	650	100	[ 2.1, 2.401, 2.702, 3.003, 3.304, 3.605, 3.906, 4.207, 4.508, 4.809, 5.11,  ]	[ 78][  0,  0,  0,  0, 22,  0,  0]
fs-tp-7	NA	395	366	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-metnef	NA	25	18	NA	NA	NA
bl-eryt	u/ul	66	61	0	[ 2, 20, 35, 73, 118, 231.5, 451, 975, 1500, 8115, 77500,  ]	NA
u-erytla	e6/l	2597	1463	0	[ 0, 5, 6, 8, 9, 12, 15, 20, 31, 73, 24029,  ]	[ 68][  0, 32,  0,  0,  0,  0,  0]
ts-kudosnäyte,histologinenerikoisvärjäys	NA	12	12	NA	NA	NA
pt-sytologinenlisäkäyntiinpano	NA	12	12	NA	NA	NA
e-coomigg	NA	2969	1902	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 51][  0,  6,  0,  0, 43,  0,  0]
s-toxoabm	NA	5977	4853	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0,  0,  0,  0, 22,  0,  0]
s-igg4	NA	2565	1881	100	[ 0.01, 0.038, 0.066, 0.094, 0.122, 0.15, 0.236, 0.322, 0.408, 0.494, 0.58,  ]	[ 71][  0, 26,  0,  2,  1,  0,  0]
s-stpn4	NA	303	212	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-stpn6b	mg/l	378	266	0	[ 0.023, 0.043, 0.072, 0.141, 0.24, 0.435, 0.818, 1.5, 2.76, 6.53, 29,  ]	NA
s-stpn9v	NA	269	182	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-stpn14	mg/l	362	260	0	[ 0.063, 0.19, 0.334, 0.722, 1.2, 1.7, 2.8, 4.07, 6.08, 12.9, 29,  ]	NA
s-stpn23f	NA	233	159	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-eeg-ud2	NA	777	445	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-ruoat	NA	215	215	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hevohie	NA	3511	3402	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 92][  0,  2,  0,  0,  6,  1,  0]
fp-insu	mu/l	1633	987	0	[ 1, 3, 5, 7, 9, 11, 13, 16.92, 22, 32, 412,  ]	[ 81][  0, 16,  0,  0,  2,  0,  0]
s-inhibb	NA	1196	526	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 75][  0,  2,  0,  0, 22,  0,  0]
-pmscl10	NA	176	159	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-pl-12	NA	771	679	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  1,  0,  0,  0,  0,  0]
oma-p-gluk	NA	6144	1589	48	[ 2, 5.4, 6.1, 6.7, 7.3, 8, 8.8, 9.8, 11.26, 13.38, 92,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-igm	NA	1407	943	100	[ 0.59, 0.866, 1.142, 1.384, 1.592, 1.8, 2.2, 2.6, 3.012, 3.436, 3.86,  ]	[ 57][  0, 43,  0,  0,  0,  0,  0]
ln-padsenf	NA	1253	1214	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
huumepakettiu-4a	NA	14	13	NA	NA	NA
u-seul-pika,leuk	NA	289	176	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-ebvabg	eiu	656	534	0	[ 10, 15.5, 30, 45, 55, 60, 70, 80, 85, 95, 448,  ]	[ 98][  0,  1,  0,  0,  1,  0,  0]
s-cmvabg	eiu	1358	899	0	[ 1, 21.7, 29, 36, 42, 48, 55, 64, 75, 104, 366,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
s-hhv6ab	NA	567	435	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
